"k","Channel","Full_MinMedian","LOO_MinMedian","Delta","Jaccard_vs_full"
20,"Ec",0.923583605494175,0.921200750469043,-0.00238285502513103,0.666666666666667
20,"Ep",0.923583605494175,0.923583605494175,0,1
20,"Em",0.923583605494175,0.923583605494175,0,1
20,"Es",0.923583605494175,0.930555555555556,0.00697195006138107,0.538461538461538
20,"Ex",0.923583605494175,0.922645519190235,-0.000938086303939989,0.904761904761905
50,"Ec",0.922645519190235,0.932098765432099,0.0094532462418645,0.449275362318841
50,"Ep",0.922645519190235,0.922645519190235,0,1
50,"Em",0.922645519190235,0.922645519190235,0,1
50,"Es",0.922645519190235,0.925126815370718,0.00248129618048343,0.785714285714286
50,"Ex",0.922645519190235,0.915806754221388,-0.00683876496884606,0.639344262295082
100,"Ec",0.919538832140458,0.923702313946216,0.0041634818057581,0.538461538461538
100,"Ep",0.919538832140458,0.919538832140458,0,1
100,"Em",0.919538832140458,0.919753086419753,0.000214254279295001,0.96078431372549
100,"Es",0.919538832140458,0.919753086419753,0.000214254279295001,0.941747572815534
100,"Ex",0.919538832140458,0.913325458040905,-0.00621337409955303,0.754385964912281
