"Paper_ID","Year","Citation","Panel","Paper_n_genes","n_hit","frac_panel","frac_paper","jaccard","hyper_P","hits"
"P1_JGO_2022",2022,"Li et al. J Gastrointest Oncol (LASSO+SVM diagnostic genes)","BIOS_v2_noEx_equal",11,2,0.1,0.181818181818182,0.0689655172413793,0.000162134420085649,"BEST4;MMP7"
"P1_JGO_2022",2022,"Li et al. J Gastrointest Oncol (LASSO+SVM diagnostic genes)","BIOS_v2_ExTrain_locked",11,3,0.15,0.272727272727273,0.107142857142857,7.75347964129134e-07,"BEST4;FOXQ1;MMP7"
"P1_JGO_2022",2022,"Li et al. J Gastrointest Oncol (LASSO+SVM diagnostic genes)","Merged_limma_topk20",11,3,0.157894736842105,0.272727272727273,0.111111111111111,6.5939618235267e-07,"ASCL2;BEST4;FOXQ1"
"P1b_JGO_SVM_extra",2022,"Li et al. JGO SVM candidate pool (extras overlapping BIOS)","BIOS_v2_noEx_equal",7,4,0.2,0.571428571428571,0.173913043478261,2.4889300131762e-10,"BEST4;CLDN1;GUCA2B;MMP7"
"P1b_JGO_SVM_extra",2022,"Li et al. JGO SVM candidate pool (extras overlapping BIOS)","BIOS_v2_ExTrain_locked",7,5,0.25,0.714285714285714,0.227272727272727,2.11774984239295e-13,"BEST4;CLDN1;FOXQ1;GUCA2B;MMP7"
"P1b_JGO_SVM_extra",2022,"Li et al. JGO SVM candidate pool (extras overlapping BIOS)","Merged_limma_topk20",7,3,0.157894736842105,0.428571428571429,0.130434782608696,1.40467802469395e-07,"ASCL2;BEST4;FOXQ1"
"P2_Genes_2023",2023,"Ahmed et al. Genes (CA2/CA7/ITM2C ML signature)","BIOS_v2_noEx_equal",3,1,0.05,0.333333333333333,0.0454545454545455,0.00530081059265897,"CA7"
"P2_Genes_2023",2023,"Ahmed et al. Genes (CA2/CA7/ITM2C ML signature)","BIOS_v2_ExTrain_locked",3,1,0.05,0.333333333333333,0.0454545454545455,0.00530081059265897,"CA7"
"P2_Genes_2023",2023,"Ahmed et al. Genes (CA2/CA7/ITM2C ML signature)","Merged_limma_topk20",3,0,0,0,0,1,""
"P3_BMCMedGenomics_2023",2023,"Mosharaf et al. BMC Med Genomics (11 key genes multi-GEO)","BIOS_v2_noEx_equal",9,4,0.2,0.444444444444444,0.16,8.93985138897822e-10,"CLCA4;CLDN1;GUCA2B;MMP7"
"P3_BMCMedGenomics_2023",2023,"Mosharaf et al. BMC Med Genomics (11 key genes multi-GEO)","BIOS_v2_ExTrain_locked",9,4,0.2,0.444444444444444,0.16,8.93985138897822e-10,"CLCA4;CLDN1;GUCA2B;MMP7"
"P3_BMCMedGenomics_2023",2023,"Mosharaf et al. BMC Med Genomics (11 key genes multi-GEO)","Merged_limma_topk20",9,0,0,0,0,1,""
"P4_SPIB_AQP8_GUCA2B_2023",2023,"Huang/Li et al. SPIB-AQP8-GUCA2B co-network (in silico+in vitro)","BIOS_v2_noEx_equal",3,3,0.15,1,0.15,4.74172189993138e-09,"AQP8;GUCA2B;SPIB"
"P4_SPIB_AQP8_GUCA2B_2023",2023,"Huang/Li et al. SPIB-AQP8-GUCA2B co-network (in silico+in vitro)","BIOS_v2_ExTrain_locked",3,3,0.15,1,0.15,4.74172189993138e-09,"AQP8;GUCA2B;SPIB"
"P4_SPIB_AQP8_GUCA2B_2023",2023,"Huang/Li et al. SPIB-AQP8-GUCA2B co-network (in silico+in vitro)","Merged_limma_topk20",3,0,0,0,0,1,""
"P5_OTOP2_2022",2022,"OTOP2 functional validation (used GSE50760)","BIOS_v2_noEx_equal",3,3,0.15,1,0.15,4.74172189993138e-09,"BEST4;GUCA2B;OTOP2"
"P5_OTOP2_2022",2022,"OTOP2 functional validation (used GSE50760)","BIOS_v2_ExTrain_locked",3,3,0.15,1,0.15,4.74172189993138e-09,"BEST4;GUCA2B;OTOP2"
"P5_OTOP2_2022",2022,"OTOP2 functional validation (used GSE50760)","Merged_limma_topk20",3,2,0.105263157894737,0.666666666666667,0.1,8.02773517658383e-06,"BEST4;OTOP2"
"P6_Union_recent_CRC_diag",2023,"Union of P1+P2+P3+P4 core diagnostic genes (meta recent)","BIOS_v2_noEx_equal",24,8,0.4,0.333333333333333,0.222222222222222,1.38749578550915e-17,"AQP8;BEST4;CA7;CLCA4;CLDN1;GUCA2B;MMP7;SPIB"
"P6_Union_recent_CRC_diag",2023,"Union of P1+P2+P3+P4 core diagnostic genes (meta recent)","BIOS_v2_ExTrain_locked",24,9,0.45,0.375,0.257142857142857,2.62647111497154e-20,"AQP8;BEST4;CA7;CLCA4;CLDN1;FOXQ1;GUCA2B;MMP7;SPIB"
"P6_Union_recent_CRC_diag",2023,"Union of P1+P2+P3+P4 core diagnostic genes (meta recent)","Merged_limma_topk20",24,3,0.157894736842105,0.125,0.075,7.97760757814312e-06,"ASCL2;BEST4;FOXQ1"
