"Method","k","Med_AUC_RNA_heldout","Med_AUC_Micro","MinMedian_both","CRC_marker_n","CRC_marker_frac","CRC_markers","Note"
"ONLY_Ex_both_circular",20,0.953703703703704,0.950906816760476,0.949968730456536,"4",0.2,"CA7;S100A11;GUCA2B;BEST4",""
"ONLY_Em",20,0.949074074074074,0.954033771106942,0.938491649873764,"6",0.3,"CA7;BEST4;CLDN1;OTOP2;FOXQ1;CDH3",""
"BIOS_v2_noEx_equal",20,0.939814814814815,0.938242651657286,0.922645519190235,"9",0.45,"CA7;BEST4;GUCA2B;OTOP2;INHBA;WNT2;MMP7;OTOP3;CLDN1",""
"BIOS_v2_ExTrain_locked",20,0.939814814814815,0.946841776110069,0.923583605494175,"9",0.45,"CA7;BEST4;GUCA2B;OTOP2;MMP7;CLDN1;INHBA;FOXQ1;WNT2",""
"BIOS_v2_noEx_locked",20,0.939814814814815,0.938242651657286,0.922645519190235,"9",0.45,"CA7;BEST4;GUCA2B;OTOP2;INHBA;WNT2;MMP7;OTOP3;CLDN1",""
"ONLY_Es",20,0.938271604938272,0.930268918073796,0.91963727329581,"7",0.35,"CA7;BEST4;OTOP2;GUCA2B;WNT2;INHBA;OTOP3",""
"BIOS_v1_circular_Ex",20,0.936728395061728,0.941525953721076,0.923583605494175,"8",0.4,"CA7;BEST4;GUCA2B;OTOP2;INHBA;WNT2;MMP7;CLDN1",""
"BIOS_v2_ExTrain_equal",20,0.935185185185186,0.944652908067543,0.923583605494175,"9",0.45,"CA7;BEST4;GUCA2B;OTOP2;INHBA;WNT2;MMP7;CLDN1;FOXQ1",""
"ONLY_Ec",20,0.935185185185186,0.948717948717949,0.930555555555556,"8",0.4,"CA7;BEST4;GUCA2B;MMP7;OTOP2;CLDN1;FOXQ1;CDH3",""
"Ec_times_Ep",20,0.935185185185186,0.948717948717949,0.930555555555556,"8",0.4,"CA7;BEST4;GUCA2B;MMP7;OTOP2;CLDN1;FOXQ1;CDH3",""
"ONLY_Ep",20,0.925925925925926,0.930268918073796,0.918288050401872,"4",0.2,"GUCA2B;MMP7;CA7;BEST4",""
"ONLY_AUC_micro_train",20,0.885802469135802,0.973577235772358,0.885802469135802,"2",0.1,"FOXQ1;S100A11",""
"Merged_limma_topk",20,0.883487654320988,0.966541588492808,0.883487654320988,"6",0.3,"FOXQ1;ASCL2;S100A11;CDH3;OTOP2;BEST4",""
"Random_matched_k",20,0.759259259259259,0.789868667917448,0.719135802469135,"0",0,"",""
