"Paper_ID","Panel","n_hit","frac_panel","jaccard","hyper_P","hits"
"P1_JGO_2022","BIOS_v2_noEx_equal",2,0.1,0.0689655172413793,0.000162134420085649,"BEST4;MMP7"
"P1_JGO_2022","Merged_limma_topk20",3,0.157894736842105,0.111111111111111,6.5939618235267e-07,"ASCL2;BEST4;FOXQ1"
"P1b_JGO_SVM_extra","BIOS_v2_noEx_equal",4,0.2,0.173913043478261,2.4889300131762e-10,"BEST4;CLDN1;GUCA2B;MMP7"
"P1b_JGO_SVM_extra","Merged_limma_topk20",3,0.157894736842105,0.130434782608696,1.40467802469395e-07,"ASCL2;BEST4;FOXQ1"
"P2_Genes_2023","BIOS_v2_noEx_equal",1,0.05,0.0454545454545455,0.00530081059265897,"CA7"
"P2_Genes_2023","Merged_limma_topk20",0,0,0,1,""
"P3_BMCMedGenomics_2023","BIOS_v2_noEx_equal",4,0.2,0.16,8.93985138897822e-10,"CLCA4;CLDN1;GUCA2B;MMP7"
"P3_BMCMedGenomics_2023","Merged_limma_topk20",0,0,0,1,""
"P4_SPIB_AQP8_GUCA2B_2023","BIOS_v2_noEx_equal",3,0.15,0.15,4.74172189993138e-09,"AQP8;GUCA2B;SPIB"
"P4_SPIB_AQP8_GUCA2B_2023","Merged_limma_topk20",0,0,0,1,""
"P5_OTOP2_2022","BIOS_v2_noEx_equal",3,0.15,0.15,4.74172189993138e-09,"BEST4;GUCA2B;OTOP2"
"P5_OTOP2_2022","Merged_limma_topk20",2,0.105263157894737,0.1,8.02773517658383e-06,"BEST4;OTOP2"
"P6_Union_recent_CRC_diag","BIOS_v2_noEx_equal",8,0.4,0.222222222222222,1.38749578550915e-17,"AQP8;BEST4;CA7;CLCA4;CLDN1;GUCA2B;MMP7;SPIB"
"P6_Union_recent_CRC_diag","Merged_limma_topk20",3,0.157894736842105,0.075,7.97760757814312e-06,"ASCL2;BEST4;FOXQ1"
