"Paper_KG","In_BIOS_v2_top20","In_BIOS_API_top20","In_JointLimma_top20","In_PaperStyle_intersect_top20","In_PaperStyle_intersect_ALL","AUC_Micro","AUC_RNA"
"CXCL8",FALSE,FALSE,FALSE,FALSE,TRUE,0.716285184039592,0.950617283950617
"CEMIP",TRUE,TRUE,TRUE,FALSE,TRUE,0.969687596659449,0.941358024691358
"MMP7",FALSE,FALSE,FALSE,TRUE,TRUE,0.936746056294463,0.922839506172839
"CA4",TRUE,TRUE,FALSE,TRUE,TRUE,0.930637179090628,0.959876543209877
"ADH1C",FALSE,FALSE,FALSE,FALSE,TRUE,0.948963810702134,0.794753086419753
"GUCA2A",TRUE,TRUE,FALSE,TRUE,TRUE,0.955923291060934,0.932098765432099
"GUCA2B",TRUE,TRUE,TRUE,TRUE,TRUE,0.966903804515929,0.95679012345679
"ZG16",TRUE,TRUE,FALSE,TRUE,TRUE,0.927698731828024,0.746913580246914
"CLCA4",TRUE,TRUE,FALSE,TRUE,TRUE,0.921899164862357,0.95679012345679
"MS4A12",TRUE,TRUE,FALSE,TRUE,TRUE,0.920197958552428,0.91358024691358
"CLDN1",TRUE,TRUE,TRUE,FALSE,TRUE,0.956077946180019,0.938271604938272
