"Gene","logFC_Condition","adjP_Condition","logFC_Platform","Ec","Ep","Em","Es","BIOS_Rank"
"CDH3",1.95046301007508,3.81607280879717e-31,-0.181822822973101,1,1,1,1,1
"TEAD4",1.84228316294207,2.79718503512376e-27,-0.171738260952226,0.824519044372043,0.999999145887326,1,1,0.956129547564842
"FOXQ1",1.83950699830427,2.79718503512376e-27,-0.171479465943618,0.8232765640301,0.999999122646563,1,1,0.955818921669166
"INHBA",1.81280940473448,1.62619222810949e-26,-0.168990707221011,0.787970404352733,0.999998895512947,1,1,0.94699232496642
"AJUBA",1.81227545573339,1.62619222810949e-26,-0.168940932314129,0.78773831375942,0.999998890902043,1,1,0.946934301165366
"CLDN1",1.8104923905556,1.62619222810949e-26,-0.168774714373827,0.786963272221407,0.999998875484714,1,1,0.94674053692653
"CEMIP",1.80831792513537,1.67093802746647e-26,-0.168572009970247,0.785658800775129,0.999998856641981,1,1,0.946414414354277
"LOC100996643",1.78753221376491,8.12592252951914e-26,-0.166634358910288,0.755932286911708,0.999998674210777,1,1,0.938982740280621
"GUCA2B",-1.78036668578709,1.28187774424646e-25,0.165966385963203,0.746961263603924,0.999998610333312,1,1,0.936739968484309
"GTF2IRD1",1.77919519212577,1.28187774424646e-25,-0.165857178926979,0.746469757897497,0.999998599841017,1,1,0.936617089434629
"LIFR",-1.77564457259528,1.5537133552517e-25,0.165526188970746,0.742480337810979,0.999998567955953,1,1,0.935619726441733
"CSE1L",1.77071348834343,2.12034266342519e-25,-0.165066511625234,0.736388269308924,0.999998523462022,1,1,0.934096698192736
"CCT3",1.75922962553122,4.91099648174704e-25,-0.163995982041044,0.720796627374734,0.99999841887447,1,1,0.930198761562301
"SLC7A5",1.75689804200706,5.23957908168694e-25,-0.163778631034555,0.719008424617947,0.999998397472922,1,1,0.929751705522717
"ABCA8",-1.75661828387316,5.23957908168694e-25,0.163752551886481,0.71889393393589,0.999998394901207,1,1,0.929723082209274
"S100A11",1.75408401204389,6.00724804427222e-25,-0.163516306207481,0.716101246620274,0.99999837156725,1,1,0.929024904546881
"GBA3",-1.74845264156614,8.37431538836403e-25,0.162991347942606,0.709550504733992,0.999998319475049,1,1,0.92738720605226
"VSTM2A",-1.74839691558123,8.37431538836403e-25,0.162986153147403,0.709527890223437,0.999998318957889,1,1,0.927381552295331
"SRM",1.74441989033255,1.08527171997004e-24,-0.162615413505576,0.704603599494584,0.999998281964004,1,1,0.926150470364647
"C2orf88",-1.74365747251236,1.09469207108771e-24,0.162544340657932,0.704185332928651,0.999998274852776,1,1,0.926045901945357
